time_s,Tstar,Yint_star,Yfs_star
0.005,0.006134691489126103,0.0,0.5901516681465216
0.01,0.012269382978252205,0.0,0.5901160437838813
0.015,0.01840407446737831,0.0,0.5900571175448459
0.02,0.02453876595650441,0.0,0.5899743932368045
0.025,0.030673457445630516,0.0,0.5898672119765139
0.03,0.03680814893475662,0.0,0.5897347048682167
0.035,0.042942840423882724,0.0,0.5895757379732306
0.04,0.04907753191300882,0.0,0.5893888686478097
0.045,0.05521222340213492,0.0,0.5891723032616464
0.05,0.06134691489126103,0.0,0.5889237748314663
0.055,0.06748160638038714,0.0,0.5886404408176256
0.06,0.07361629786951324,0.0,0.5883187323000018
0.065,0.07975098935863933,0.0,0.5879541800979442
0.07,0.08588568084776545,0.0,0.5875411730167498
0.075,0.09202037233689155,0.0,0.5870726450971223
0.08,0.09815506382601764,0.0,0.5865396750644248
0.085,0.10428975531514376,0.0,0.5859309604187819
0.09,0.11042444680426984,0.0,0.5852320821877399
0.095,0.11655913829339595,0.0,0.5844254031059101
0.1,0.12269382978252207,0.0,0.5835017055217473
0.105,0.12882852127164815,0.0,0.5824451274625945
0.11,0.13496321276077428,0.0,0.5812935404853101
0.115,0.14109790424990037,0.0,0.5802775244633833
0.12,0.14723259573902647,0.0,0.5793995984237953
0.125,0.15336728722815257,0.0,0.5786380675575226
0.13,0.15950197871727867,0.0,0.5779753222612678
0.135,0.1656366702064048,0.0,0.5773969246402164
0.14,0.1717713616955309,0.0,0.5768909762261664
0.145,0.17790605318465696,0.0,0.5764475393096553
0.15,0.1840407446737831,0.0,0.5760582925131891
0.155,0.1901754361629092,0.0,0.5757162184017823
0.16,0.1963101276520353,0.0,0.5754153579440953
0.165,0.20244481914116141,0.0,0.5751506307576066
0.17,0.2085795106302875,0.0,0.5749176750106502
0.175,0.21471420211941358,0.0,0.5747127426836931
0.18,0.22084889360853968,0.0,0.5745325826074424
0.185,0.2269835850976658,0.0,0.5743743750391381
0.19,0.2331182765867919,0.0,0.5742356630659476
0.195,0.23925296807591803,0.0,0.5741142918840278
0.2,0.24538765956504413,0.0,0.5740083708031203
0.205,0.2515223510541702,0.0,0.5739162265859096
0.21,0.2576570425432963,0.0,0.5738363791044035
0.215,0.2637917340324224,0.0,0.5737704918032789
0.22,0.26992642552154855,0.0,0.5737704918032789
0.225,0.27606111701067465,0.0,0.5737704918032789
0.23,0.28219580849980075,0.0,0.5737704918032789
0.235,0.2883304999889268,0.0,0.5737704918032789
0.24,0.29446519147805295,0.0,0.5737704918032789
0.245,0.30059988296717904,0.0,0.5737704918032789
0.25,0.30673457445630514,0.0,0.5737704918032789
0.255,0.31286926594543124,0.0,0.5737704918032789
0.26,0.31900395743455734,0.0,0.5737704918032789
0.265,0.3251386489236835,0.0,0.5737704918032789
0.27,0.3312733404128096,0.0,0.5737704918032789
0.275,0.3374080319019357,0.0,0.5737704918032789
0.28,0.3435427233910618,0.0,0.5737704918032789
0.285,0.34967741488018783,0.0,0.5737704918032789
0.29,0.35581210636931393,0.0,0.5737704918032789
0.295,0.36194679785844003,0.0,0.5737704918032789
0.3,0.3680814893475662,0.0,0.5737704918032789
0.305,0.3742161808366923,0.0,0.5737704918032789
0.31,0.3803508723258184,0.0,0.5737704918032789
0.315,0.3864855638149445,0.0,0.5737704918032789
0.32,0.3926202553040706,0.0,0.5737704918032789
0.325,0.3987549467931967,0.0,0.5737704918032789
0.33,0.40488963828232283,0.0,0.5737704918032789
0.335,0.4110243297714489,0.0,0.5737704918032789
0.34,0.417159021260575,0.0,0.5737704918032789
0.345,0.42329371274970107,0.0,0.5737704918032789
0.35,0.42942840423882717,0.0,0.5737704918032789
0.355,0.43556309572795326,0.0,0.5737704918032789
0.36,0.44169778721707936,0.0,0.5737704918032789
0.365,0.4478324787062055,0.0,0.5737704918032789
0.37,0.4539671701953316,0.0,0.5737704918032789
0.375,0.4601018616844577,0.0,0.5737704918032789
0.38,0.4662365531735838,0.0,0.5737704918032789
0.385,0.4723712446627099,0.0,0.5737704918032789
0.39,0.47850593615183606,0.0,0.5737704918032789
0.395,0.48464062764096216,0.0,0.5737704918032789
0.4,0.49077531913008826,0.0,0.5737704918032789
0.405,0.49691001061921436,0.0,0.5737704918032789
0.41,0.5030447021083404,0.0,0.5737704918032789
0.415,0.5091793935974666,0.0,0.5737704918032789
0.42,0.5153140850865926,0.0,0.5737704918032789
0.425,0.5214487765757188,0.0,0.5737708195760657
0.43,0.5275834680648448,0.0,0.5737748235604727
0.435,0.533718159553971,0.0,0.5737842805667408
0.44,0.5398528510430971,0.0,0.5738004043482736
0.445,0.5459875425322231,0.0,0.5738245494216873
0.45,0.5521222340213493,0.0,0.5738580376689174
0.455,0.5582569255104753,0.0,0.5739022352143984
0.46,0.5643916169996015,0.0,0.5739585589955746
0.465,0.5705263084887275,0.0,0.574028462010359
0.47,0.5766609999778536,0.0,0.5741134360799179
0.475,0.5827956914669797,0.0,0.5742149866197456
0.48,0.5889303829561059,0.0,0.5743347791453091
0.485,0.5950650744452319,0.0,0.5744744614907774
0.49,0.6011997659343581,0.0,0.5746358251457307
0.495,0.6073344574234841,0.0,0.5748207980433042
0.5,0.6134691489126103,0.0,0.5750314763801212
0.505,0.6196038404017364,0.0,0.5752701779334788
0.51,0.6257385318908625,0.0,0.5755394768300275
0.515,0.6318732233799886,0.0,0.5758422628142571
0.52,0.6380079148691147,0.0,0.5761818166383283
0.525,0.6441426063582408,0.0,0.5765618589981822
0.53,0.650277297847367,0.0,0.5769866484618725
0.535,0.656411989336493,0.0,0.5774610796558634
0.54,0.6625466808256192,0.0,0.577990801110081
0.545,0.6686813723147452,0.0,0.5785823347435604
0.55,0.6748160638038714,0.0,0.5792666831812324
0.555,0.6809507552929974,0.0,0.5801898415759262
0.56,0.6870854467821236,0.0,0.5811966490025446
0.565,0.6932201382712495,0.0,0.5822791392148802
0.57,0.6993548297603757,0.0,0.583243019186795
0.575,0.7054895212495018,0.0,0.5840502738084798
0.58,0.7116242127386279,0.0,0.5847319749913438
0.585,0.717758904227754,0.0,0.585311609121851
0.59,0.7238935957168801,0.0,0.5858072547814404
0.595,0.7300282872060062,0.0,0.586233009748884
0.6,0.7361629786951324,0.0,0.586600037478221
0.605,0.7422976701842584,0.0,0.5869172684130125
0.61,0.7484323616733846,0.0,0.5871919037125074
0.615,0.7545670531625106,0.0,0.5874298149046597
0.62,0.7607017446516368,0.0,0.5876358202126137
0.625,0.7668364361407629,0.0,0.5878138881739184
0.63,0.772971127629889,0.0,0.5879672914873725
0.635,0.7791058191190151,0.0,0.588098738323853
0.64,0.7852405106081412,0.0,0.5882104792707261
0.645,0.7913752020972673,0.0,0.5883043597763421
0.65,0.7975098935863933,0.0,0.5883819011986443
0.655,0.8036445850755195,0.0,0.5884443268825317
0.66,0.8097792765646457,0.0,0.5884926053258009
0.665,0.8159139680537717,0.0,0.5885274762414494
0.67,0.8220486595428979,0.0,0.5885494634984993
0.675,0.8281833510320239,0.0,0.5885589061675935
0.68,0.83431804252115,0.0,0.5885560030553519
0.685,0.8404527340102762,0.0,0.5885408848952751
0.69,0.8465874254994021,0.0,0.5885133435092492
0.695,0.8527221169885283,0.0,0.5884729825214511
0.7,0.8588568084776543,0.0,0.5884192190472278
0.705,0.8649914999667805,0.0,0.588351272202887
0.71,0.8711261914559065,0.0,0.5882682171957206
0.715,0.8772608829450327,0.0,0.5881689412784016
0.72,0.8833955744341587,0.0,0.5880519029210317
0.725,0.8895302659232849,0.0,0.5879151115458858
0.73,0.895664957412411,0.0,0.5877563726758781
0.735,0.9017996489015371,0.0,0.587573260571634
0.74,0.9079343403906632,0.0,0.5873627029514065
0.745,0.9140690318797893,0.0,0.5871211384844932
0.75,0.9202037233689154,0.0,0.5868444802064587
0.755,0.9263384148580416,0.0,0.5865276499827949
0.76,0.9324731063471676,0.0,0.5861644868346255
0.765,0.9386077978362938,0.0,0.58574748932709
0.77,0.9447424893254198,0.0,0.5852673773393197
0.775,0.950877180814546,0.0,0.5847125979963235
0.78,0.9570118723036721,0.0,0.5839111659726258
0.785,0.9631465637927982,0.0,0.5829947416256147
0.79,0.9692812552819243,0.0,0.5819476162412076
0.795,0.9754159467710504,0.0,0.5809059198933232
0.8,0.9815506382601765,0.0,0.5799950325559026
0.805,0.9876853297493026,0.0,0.5791966546830388
0.81,0.9938200212384287,0.0,0.5784954492792163
0.815,0.9999547127275547,0.0,0.577878476461744
0.82,1.0060894042166808,0.0,0.5773347716366575
0.825,1.0122240957058068,0.0,0.5768550031708173
0.83,1.0183587871949331,0.0,0.5764312051977838
0.835,1.0244934786840592,0.0,0.576056556226616
0.84,1.0306281701731852,0.0,0.5757251814025712
0.845,1.0367628616623112,0.0,0.5754319954625289
0.85,1.0428975531514375,0.0,0.5751725973357802
0.855,1.0490322446405635,0.0,0.5749431607532587
0.86,1.0551669361296896,0.0,0.5747403445835578
0.865,1.0613016276188159,0.0,0.5745612203500625
0.87,1.067436319107942,0.0,0.5744032163856765
0.875,1.073571010597068,0.0,0.5742640782180531
0.88,1.0797057020861942,0.0,0.5741418088933277
0.885,1.0858403935753203,0.0,0.574034642660661
0.89,1.0919750850644463,0.0,0.5739410053052474
0.895,1.0981097765535723,0.0,0.5738594913660484
0.9,1.1042444680426986,0.0,0.5737888413659411
0.905,1.1103791595318246,0.0,0.5737704918032789
0.91,1.1165138510209507,0.0,0.5737704918032789
0.915,1.122648542510077,0.0,0.5737704918032789
0.92,1.128783233999203,0.0,0.5737704918032789
0.925,1.134917925488329,0.0,0.5737704918032789
0.93,1.141052616977455,0.0,0.5737704918032789
0.935,1.1471873084665813,0.0,0.5737704918032789
0.94,1.1533219999557072,0.0,0.5737704918032789
0.945,1.1594566914448334,0.0,0.5737704918032789
0.95,1.1655913829339595,0.0,0.5737704918032789
0.955,1.1717260744230855,0.0,0.5737704918032789
0.96,1.1778607659122118,0.0,0.5737704918032789
0.965,1.1839954574013378,0.0,0.5737704918032789
0.97,1.1901301488904639,0.0,0.5737704918032789
0.975,1.1962648403795901,0.0,0.5737704918032789
0.98,1.2023995318687162,0.0,0.5737704918032789
0.985,1.2085342233578422,0.0,0.5737704918032789
0.99,1.2146689148469683,0.0,0.5737704918032789
0.995,1.2208036063360945,0.0,0.5737704918032789
1.0,1.2269382978252206,0.0,0.5737704918032789
