Tstar,Hstar_min,Hstar_med,Hstar_max,pixel_x,pixel_y_q85,pixel_y_median,pixel_y_q15
0.11210762331838565,0.7386986301369863,0.8013698630136986,0.863013698630137,260.0,251.1,245.0,239.0
0.13452914798206278,0.7191780821917808,0.791095890410959,0.8527397260273972,261.0,253.0,246.0,240.0
0.15695067264573992,0.6919520547945205,0.7602739726027398,0.821917808219178,262.0,255.65,249.0,243.0
0.17937219730941703,0.6883561643835616,0.7602739726027398,0.821917808219178,263.0,256.0,249.0,243.0
0.20179372197309417,0.6883561643835616,0.75,0.8116438356164384,264.0,256.0,250.0,244.0
0.2242152466367713,0.6883561643835616,0.7397260273972602,0.8013698630136986,265.0,256.0,251.0,245.0
0.24663677130044842,0.6883561643835616,0.7397260273972602,0.7936643835616438,266.0,256.0,251.0,245.75
0.26905829596412556,0.6883561643835616,0.7397260273972602,0.791095890410959,267.0,256.0,251.0,246.0
0.2914798206278027,0.6883561643835616,0.7294520547945206,0.7705479452054794,268.0,256.0,252.0,248.0
0.31390134529147984,0.6986301369863014,0.7294520547945206,0.7659246575342467,269.0,255.0,252.0,248.45
0.336322869955157,0.6986301369863014,0.7294520547945206,0.7659246575342467,270.0,255.0,252.0,248.45
0.35874439461883406,0.7011986301369864,0.7345890410958904,0.7659246575342467,271.0,254.75,251.5,248.45
0.3811659192825112,0.714041095890411,0.7397260273972602,0.7705479452054794,272.0,253.5,251.0,248.0
0.40358744394618834,0.7227739726027397,0.75,0.7772260273972603,273.0,252.65,250.0,247.35
0.4260089686098655,0.7371575342465754,0.7602739726027398,0.7808219178082192,274.0,251.25,249.0,247.0
0.4484304932735426,0.75,0.7705479452054794,0.7808219178082192,275.0,250.0,248.0,247.0
0.47085201793721976,0.7602739726027398,0.7808219178082192,0.791095890410959,276.0,249.0,247.0,246.0
0.49327354260089684,0.7674657534246574,0.7808219178082192,0.8044520547945206,277.0,248.3,247.0,244.7
0.515695067264574,0.7761986301369864,0.791095890410959,0.8116438356164384,278.0,247.45,246.0,244.0
0.5381165919282511,0.7880136986301368,0.8013698630136986,0.821917808219178,279.0,246.3,245.0,243.0
0.5605381165919282,0.791095890410959,0.8116438356164384,0.821917808219178,280.0,246.0,244.0,243.0
0.5829596412556054,0.8013698630136986,0.8116438356164384,0.8311643835616439,281.0,245.0,244.0,242.1
0.6053811659192825,0.8013698630136986,0.821917808219178,0.8321917808219178,282.0,245.0,243.0,242.0
0.6278026905829597,0.8116438356164384,0.821917808219178,0.8321917808219178,283.0,244.0,243.0,242.0
0.6502242152466368,0.8116438356164384,0.821917808219178,0.8321917808219178,284.0,244.0,243.0,242.0
0.672645739910314,0.8116438356164384,0.821917808219178,0.8414383561643837,285.0,244.0,243.0,241.1
0.695067264573991,0.8116438356164384,0.821917808219178,0.8424657534246576,286.0,244.0,243.0,241.0
0.7174887892376681,0.8116438356164384,0.821917808219178,0.8424657534246576,287.0,244.0,243.0,241.0
0.7399103139013453,0.8013698630136986,0.821917808219178,0.8424657534246576,288.0,245.0,243.0,241.0
0.7623318385650224,0.7967465753424658,0.8167808219178082,0.8424657534246576,289.0,245.45,243.5,241.0
0.7847533632286996,0.791095890410959,0.8116438356164384,0.8424657534246576,290.0,246.0,244.0,241.0
0.8071748878923767,0.791095890410959,0.8013698630136986,0.8321917808219178,291.0,246.0,245.0,242.0
0.8295964125560538,0.7808219178082192,0.7962328767123288,0.8296232876712328,292.0,247.0,245.5,242.25
0.852017937219731,0.7705479452054794,0.791095890410959,0.8224315068493152,293.0,248.0,246.0,242.95
0.874439461883408,0.7628424657534246,0.7808219178082192,0.821917808219178,294.0,248.75,247.0,243.0
0.8968609865470852,0.7602739726027398,0.7705479452054794,0.8136986301369862,295.0,249.0,248.0,243.8
0.9192825112107623,0.75,0.7705479452054794,0.791609589041096,296.0,250.0,248.0,245.95
0.9417040358744395,0.75,0.7602739726027398,0.791095890410959,297.0,250.0,249.0,246.0
0.9641255605381166,0.75,0.7602739726027398,0.7876712328767123,298.0,250.0,249.0,246.33333333333334
0.9865470852017937,0.75,0.7602739726027398,0.7842465753424659,299.0,250.0,249.0,246.66666666666666
1.0089686098654709,0.75,0.7602739726027398,0.7808219178082192,300.0,250.0,249.0,247.0
1.031390134529148,0.75,0.7602739726027398,0.7773972602739725,301.0,250.0,249.0,247.33333333333334
1.053811659192825,0.75,0.7602739726027398,0.7739726027397261,302.0,250.0,249.0,247.66666666666666
1.0762331838565022,0.75,0.7602739726027398,0.7705479452054794,303.0,250.0,249.0,248.0
1.0986547085201794,0.75,0.7602739726027398,0.7705479452054794,304.0,250.0,249.0,248.0
1.1210762331838564,0.75,0.7602739726027398,0.7705479452054794,305.0,250.0,249.0,248.0
1.1434977578475336,0.7551369863013698,0.7602739726027398,0.7705479452054794,306.0,249.5,249.0,248.0
1.1659192825112108,0.7602739726027398,0.7705479452054794,0.7808219178082192,307.0,249.0,248.0,247.0
1.188340807174888,0.7602739726027398,0.7705479452054794,0.7808219178082192,308.0,249.0,248.0,247.0
1.210762331838565,0.7623287671232876,0.7705479452054794,0.7808219178082192,309.0,248.8,248.0,247.0
1.2331838565022422,0.7705479452054794,0.7808219178082192,0.7808219178082192,310.0,248.0,247.0,247.0
1.2556053811659194,0.7705479452054794,0.7808219178082192,0.7808219178082192,311.0,248.0,247.0,247.0
1.2780269058295963,0.7705479452054794,0.7808219178082192,0.785958904109589,312.0,248.0,247.0,246.5
1.3004484304932735,0.7705479452054794,0.7808219178082192,0.785958904109589,313.0,248.0,247.0,246.5
1.3228699551569507,0.7705479452054794,0.7808219178082192,0.785958904109589,314.0,248.0,247.0,246.5
1.345291479820628,0.7705479452054794,0.7808219178082192,0.7875000000000001,315.0,248.0,247.0,246.35
1.3677130044843049,0.7705479452054794,0.7808219178082192,0.791095890410959,316.0,248.0,247.0,246.0
1.390134529147982,0.7705479452054794,0.7808219178082192,0.791095890410959,317.0,248.0,247.0,246.0
1.4125560538116593,0.7669520547945206,0.7808219178082192,0.791095890410959,318.0,248.35,247.0,246.0
1.4349775784753362,0.7602739726027398,0.7705479452054794,0.791095890410959,319.0,249.0,248.0,246.0
1.4573991031390134,0.7602739726027398,0.7705479452054794,0.791095890410959,320.0,249.0,248.0,246.0
1.4798206278026906,0.7541095890410959,0.7705479452054794,0.791095890410959,321.0,249.6,248.0,246.0
1.5022421524663676,0.75,0.7705479452054794,0.791095890410959,322.0,250.0,248.0,246.0
1.5246636771300448,0.75,0.7654109589041096,0.791095890410959,323.0,250.0,248.5,246.0
1.547085201793722,0.7494863013698629,0.7654109589041096,0.791095890410959,324.0,250.05,248.5,246.0
1.5695067264573992,0.7397260273972602,0.7654109589041096,0.791095890410959,325.0,251.0,248.5,246.0
1.5919282511210762,0.7376712328767124,0.7602739726027398,0.782876712328767,326.0,251.2,249.0,246.8
1.6143497757847534,0.7294520547945206,0.75,0.7808219178082192,327.0,252.0,250.0,247.0
1.6367713004484306,0.7294520547945206,0.7397260273972602,0.7741438356164383,328.0,252.0,251.0,247.65
1.6591928251121075,0.7294520547945206,0.7397260273972602,0.7705479452054794,329.0,252.0,251.0,248.0
1.6816143497757847,0.7273972602739727,0.7397260273972602,0.7705479452054794,330.0,252.2,251.0,248.0
1.704035874439462,0.7191780821917808,0.7345890410958904,0.7638698630136985,331.0,253.0,251.5,248.65
1.7264573991031391,0.7191780821917808,0.7345890410958904,0.7505136986301371,332.0,253.0,251.5,249.95
1.748878923766816,0.7191780821917808,0.7294520547945206,0.75,333.0,253.0,252.0,250.0
1.7713004484304933,0.7191780821917808,0.7294520547945206,0.75,334.0,253.0,252.0,250.0
1.7937219730941705,0.7191780821917808,0.7294520547945206,0.7448630136986302,335.0,253.0,252.0,250.5
1.8161434977578474,0.7191780821917808,0.7294520547945206,0.7397260273972602,336.0,253.0,252.0,251.0
1.8385650224215246,0.7212328767123286,0.7294520547945206,0.7397260273972602,337.0,252.8,252.0,251.0
1.8609865470852018,0.7212328767123286,0.7294520547945206,0.7397260273972602,338.0,252.8,252.0,251.0
1.883408071748879,0.7227739726027397,0.7345890410958904,0.7397260273972602,339.0,252.65,251.5,251.0
