kind,run,symbol,Tstar,Ystar,pixel_x,pixel_y,Tstar_uncertainty,Ystar_uncertainty
fs,aggregate,overlapping_filled_markers,3.5377358490566038,0.8045112781954887,320,199,0.018867924528301886,0.015037593984962405
fs,aggregate,overlapping_filled_markers,3.5849056603773586,0.8120300751879699,325,198,0.018867924528301886,0.015037593984962405
fs,aggregate,overlapping_filled_markers,3.632075471698113,0.8195488721804511,330,197,0.018867924528301886,0.015037593984962405
fs,aggregate,overlapping_filled_markers,3.6792452830188678,0.8308270676691729,335,195.5,0.018867924528301886,0.015037593984962405
fs,aggregate,overlapping_filled_markers,3.7264150943396226,0.849624060150376,340,193,0.018867924528301886,0.015037593984962405
fs,aggregate,overlapping_filled_markers,3.7735849056603774,0.8721804511278195,345,190,0.018867924528301886,0.015037593984962405
fs,aggregate,overlapping_filled_markers,3.8207547169811322,0.9097744360902256,350,185,0.018867924528301886,0.015037593984962405
fs,aggregate,overlapping_filled_markers,3.867924528301887,0.9473684210526315,355,180,0.018867924528301886,0.015037593984962405
fs,aggregate,overlapping_filled_markers,3.9150943396226414,0.9774436090225563,360,176,0.018867924528301886,0.015037593984962405
fs,aggregate,overlapping_filled_markers,3.952830188679245,1.0,364,173,0.018867924528301886,0.015037593984962405
int,1,open_square,3.688679245283019,0.05263157894736842,336,299,0.018867924528301886,0.015037593984962405
int,1,open_square,3.7264150943396226,0.08270676691729323,340,295,0.018867924528301886,0.015037593984962405
int,1,open_square,3.7735849056603774,0.12030075187969924,345,290,0.018867924528301886,0.015037593984962405
int,1,open_square,3.811320754716981,0.15037593984962405,349,286,0.018867924528301886,0.015037593984962405
int,1,open_square,3.849056603773585,0.21052631578947367,353,278,0.018867924528301886,0.015037593984962405
int,1,open_square,3.8773584905660377,0.2781954887218045,356,269,0.018867924528301886,0.015037593984962405
int,1,open_square,3.9150943396226414,0.3533834586466165,360,259,0.018867924528301886,0.015037593984962405
int,1,open_square,3.9433962264150946,0.42105263157894735,363,250,0.018867924528301886,0.015037593984962405
int,1,open_square,3.981132075471698,0.5263157894736842,367,236,0.018867924528301886,0.015037593984962405
int,1,open_square,4.018867924528302,0.6240601503759399,371,223,0.018867924528301886,0.015037593984962405
int,1,open_square,4.047169811320755,0.7819548872180451,374,202,0.018867924528301886,0.015037593984962405
int,1,open_square,4.09433962264151,0.9548872180451128,379,179,0.018867924528301886,0.015037593984962405
int,2,open_circle,3.7264150943396226,0.05263157894736842,340,299,0.018867924528301886,0.015037593984962405
int,2,open_circle,3.7641509433962264,0.06766917293233082,344,297,0.018867924528301886,0.015037593984962405
int,2,open_circle,3.80188679245283,0.09774436090225563,348,293,0.018867924528301886,0.015037593984962405
int,2,open_circle,3.839622641509434,0.12781954887218044,352,289,0.018867924528301886,0.015037593984962405
int,2,open_circle,3.8773584905660377,0.17293233082706766,356,283,0.018867924528301886,0.015037593984962405
int,2,open_circle,3.9056603773584904,0.21804511278195488,359,277,0.018867924528301886,0.015037593984962405
int,2,open_circle,3.9433962264150946,0.2631578947368421,363,271,0.018867924528301886,0.015037593984962405
int,2,open_circle,3.9716981132075473,0.3233082706766917,366,263,0.018867924528301886,0.015037593984962405
int,2,open_circle,4.009433962264151,0.39849624060150374,370,253,0.018867924528301886,0.015037593984962405
int,2,open_circle,4.047169811320755,0.46616541353383456,374,244,0.018867924528301886,0.015037593984962405
int,2,open_circle,4.0754716981132075,0.5789473684210527,377,229,0.018867924528301886,0.015037593984962405
int,2,open_circle,4.10377358490566,0.7142857142857143,380,211,0.018867924528301886,0.015037593984962405
int,2,open_circle,4.1415094339622645,0.8571428571428571,384,192,0.018867924528301886,0.015037593984962405
int,3,open_diamond,3.811320754716981,0.05263157894736842,349,299,0.018867924528301886,0.015037593984962405
int,3,open_diamond,3.849056603773585,0.07518796992481203,353,296,0.018867924528301886,0.015037593984962405
int,3,open_diamond,3.8867924528301887,0.09774436090225563,357,293,0.018867924528301886,0.015037593984962405
int,3,open_diamond,3.9245283018867925,0.12781954887218044,361,289,0.018867924528301886,0.015037593984962405
int,3,open_diamond,3.9622641509433962,0.17293233082706766,365,283,0.018867924528301886,0.015037593984962405
int,3,open_diamond,4.0,0.21804511278195488,369,277,0.018867924528301886,0.015037593984962405
int,3,open_diamond,4.037735849056604,0.2781954887218045,373,269,0.018867924528301886,0.015037593984962405
int,3,open_diamond,4.0754716981132075,0.39097744360902253,377,254,0.018867924528301886,0.015037593984962405
int,3,open_diamond,4.132075471698113,0.5488721804511278,383,233,0.018867924528301886,0.015037593984962405
int,3,open_diamond,4.169811320754717,0.6766917293233082,387,216,0.018867924528301886,0.015037593984962405
int,3,open_diamond,4.216981132075472,0.8796992481203008,392,189,0.018867924528301886,0.015037593984962405
