time_s,Tstar,Hstar_raw,Hstar_smooth
0.005,0.00289318718976544,1.0058160838303263,1.0157752028899911
0.01,0.00578637437953088,1.0065677585305859,1.0166237095457173
0.015,0.008679561569296319,1.0080995677749949,1.0172561684067174
0.02,0.01157274875906176,1.0103261320318913,1.0176354091641646
0.025,0.0144659359488272,1.01269666961668,1.0177513611051476
0.03,0.017359123138592638,1.0155125200528488,1.0176179207096763
0.035,0.02025231032835808,1.0185811608670554,1.0172244436725701
0.04,0.02314549751812352,1.0212480156499408,1.0165817173250828
0.045,0.02603868470788896,1.0234578388222004,1.0157127962917056
0.05,0.0289318718976544,1.0251319472860339,1.014632106411718
0.055,0.03182505908741984,1.0260895373273466,1.013360413762865
0.06,0.034718246277185276,1.025957282758705,1.0121934007246718
0.065,0.03761143346695072,1.0248456747387196,1.0106843912431525
0.07,0.04050462065671616,1.022565539010977,1.0086956340935413
0.075,0.0433978078464816,1.019374688278911,1.006424343238851
0.08,0.04629099503624704,1.0156163147776056,1.003625233887322
0.085,0.04918418222601248,1.0109288110788721,1.0003508371709653
0.09,0.05207736941577792,1.0056553694177972,0.9965750051099649
0.095,0.054970556605543355,1.000072217690912,0.9923089781468645
0.1,0.0578637437953088,0.9940989986919557,0.9875738819360877
0.105,0.06075693098507424,0.9879265607858029,0.9823868561595265
0.11,0.06365011817483968,0.9813088100282674,0.9767677509603951
0.115,0.06654330536460512,0.9748785594186854,0.9707726888319572
0.12,0.06943649255437055,0.967966165571516,0.9680690395366189
0.125,0.072329679744136,0.9609985261450424,0.9578181983804628
0.13,0.07522286693390144,0.9539153732345639,0.9509450265030188
0.135,0.07811605412366689,0.9467501890093567,0.9438497562360398
0.14,0.08100924131343232,0.9392886875860502,0.9331141570443178
0.145,0.08390242850319775,0.9316614494248259,0.929120949971234
0.15,0.0867956156929632,0.9240208183958906,0.9215326149019308
0.155,0.08968880288272864,0.9162044059782523,0.9138144965669552
0.16,0.09258199007249408,0.9080883281455888,0.9059718564500504
0.165,0.09547517726225951,0.9000609780615084,0.8980361040147764
0.17,0.09836836445202496,0.8919281591442058,0.8860938074423232
0.175,0.10126155164179039,0.8834387551241082,0.8860938074423232
0.18,0.10415473883155583,0.8750380788525911,0.8779068311162159
0.185,0.10704792602132128,0.8666156391710459,0.8653875610336477
0.19,0.10994111321108671,0.858022440426189,0.8570477107029844
0.195,0.11283430040085216,0.8492568085095574,0.8445172400375988
0.2,0.1157274875906176,0.8407171812355444,0.8360619041247389
0.205,0.11862067478038303,0.8320185136574653,0.831801597032223
0.21,0.12151386197014848,0.8232311183308031,0.8233417689283185
0.215,0.12440704915991391,0.8146580088875138,0.814887600905411
0.22,0.12730023634967935,0.8059626895263631,0.8064370202577829
0.225,0.1301934235394448,0.7972589996228926,0.7980120295538162
0.23,0.13308661072921024,0.7887562027350841,0.7896252244667151
0.235,0.13597979791897566,0.7801613298817642,0.7812846566609958
0.24,0.1388729851087411,0.7716133320654315,0.7730053133933826
0.245,0.14176617229850655,0.7632930130001778,0.7647962029617997
0.25,0.144659359488272,0.7549141001386938,0.7566774146678134
0.255,0.14755254667803744,0.7465954551819055,0.7444871666879763
0.26,0.15044573386780288,0.7385480157962574,0.736607640381252
0.265,0.15333892105756833,0.7305507996645272,0.728843627558532
0.27,0.15623210824733377,0.7225987844613188,0.7212218302498146
0.275,0.15912529543709922,0.7150033543609052,0.7137373098351317
0.28,0.16201848262686463,0.7073158482949827,0.7064037102984635
0.285,0.16491166981663005,0.6998861549324895,0.7064037102984635
0.29,0.1678048570063955,0.6927494305511697,0.6992370193756392
0.295,0.17069804419616094,0.6856311213629496,0.6891353492555554
0.3,0.1735912313859264,0.6787622543358415,0.6824274357993272
0.305,0.17648441857569183,0.6722533206284567,0.6759171468612818
0.31,0.17937760576545728,0.6656405921963149,0.6696191508203406
0.315,0.18227079295522272,0.6593777524331137,0.6635206925643986
0.32,0.18516398014498817,0.6535267433520167,0.6576461662453564
0.325,0.1880571673347536,0.6475685913292343,0.6520001955913532
0.33,0.19095035452451903,0.6420842120017172,0.6465803890188686
0.335,0.19384354171428447,0.6368275114252789,0.6384886455485183
0.34,0.19673672890404992,0.631763333322183,0.6336697243353739
0.345,0.19962991609381533,0.6269519455971275,0.6336697243353739
0.35,0.20252310328358078,0.6224268304193862,0.6291146426161298
0.355,0.20541629047334622,0.6181980324397416,0.624822228514861
0.36,0.20830947766311167,0.6143375383221423,0.6193524498047313
0.365,0.21120266485287711,0.6104803924214713,0.6157418761649467
0.37,0.21409585204264256,0.607185746964646,0.6124154226473097
0.375,0.21698903923240798,0.6040334007272475,0.6093597761035607
0.38,0.21988222642217342,0.6011874163387309,0.6065986929299955
0.385,0.22277541361193887,0.5987867448015943,0.604127310240124
0.39,0.2256686008017043,0.596371006288284,0.6019441133643839
0.395,0.22856178799146976,0.5945294869780673,0.5987183574708468
0.4,0.2314549751812352,0.5929139723104667,0.5972687469520135
0.405,0.23434816237100065,0.5915579444547632,0.5961208107783629
0.41,0.23724134956076606,0.5906522517758287,0.5961208107783629
0.415,0.2401345367505315,0.5898185457608379,0.5952658435858832
0.42,0.24302772394029695,0.5895222285627412,0.5950742099844172
0.425,0.24592091113006237,0.5893581659332837,0.5949724879653766
0.43,0.24881409831982781,0.5895858446843651,0.5951798382565402
0.435,0.25170728550959326,0.5901851755144178,0.5956799183705225
0.44,0.2546004726993587,0.5909803770347387,0.5964773520354617
0.445,0.25749365988912415,0.5922560476841814,0.5975723784097099
0.45,0.2603868470788896,0.593434620042719,0.598963403104254
0.455,0.26328003426865504,0.595239308966731,0.6006430122101828
0.46,0.2661732214584205,0.5972381944725486,0.6032115808823522
0.465,0.26906640864818593,0.5995149819833628,0.6056231341245042
0.47,0.2719595958379513,0.6022069483932048,0.6074164550548525
0.475,0.27485278302771676,0.6050495845647955,0.610244263408619
0.48,0.2777459702174822,0.6083877568416797,0.6133537205815629
0.485,0.28063915740724765,0.6116890987323592,0.6167487328267663
0.49,0.2835323445970131,0.6155328517653192,0.6204058626257356
0.495,0.28642553178677854,0.6193665601474966,0.6243364301404645
0.5,0.289318718976544,0.6237410055634939,0.628512533563222
0.505,0.29221190616630943,0.628185763534972,0.6329572118152489
0.51,0.2951050933560749,0.6329385574637948,0.6376395337496895
0.515,0.2979982805458403,0.6380496106038778,0.6425693048589748
0.52,0.30089146773560577,0.64328287366182,0.6500078510664629
0.525,0.3037846549253712,0.6489062039918381,0.6555273866717213
0.53,0.30667784211513666,0.6546567665651042,0.6612564369512286
0.535,0.3095710293049021,0.6608811018336378,0.6672037909744197
0.54,0.31246421649466755,0.6669849012927729,0.6733509498427694
0.545,0.315357403684433,0.6735222948440426,0.6797001736027038
0.55,0.31825059087419844,0.67995421956209,0.6832600257420067
0.555,0.3211437780639639,0.6867728633352851,0.6898658983013919
0.56,0.32403696525372927,0.6935680695899841,0.6966560822306999
0.565,0.32693015244349466,0.7007633877675391,0.7036053861835229
0.57,0.3298233396332601,0.707923549667355,0.7107138898793112
0.575,0.33271652682302555,0.7154402966699658,0.7179622214915552
0.58,0.335609714012791,0.7229687624318246,0.7253493446673959
0.585,0.33850290120255644,0.7306361791961818,0.7328539743135075
0.59,0.3413960883923219,0.7384760291323137,0.7404671021319655
0.595,0.34428927558208733,0.7463510353461847,0.7481832274806748
0.6,0.3471824627718528,0.7544570685280655,0.7559915085143455
0.605,0.3500756499616182,0.7624643293105807,0.763887002627037
0.61,0.35296883715138366,0.7707796260504407,0.7718554400370811
0.615,0.3558620243411491,0.778873940473076,0.7798917186996357
0.62,0.35875521153091455,0.7873281882154344,0.7879743940824737
